Population,Day,objective,district task cost,district task cost collecting,district task cost sending,district 1 cost,d1 cost collecting,d1 cost sending,district 2 cost,d2 cost collecting,d2 cost sending,district 3 cost,d3 cost collecting,d3 cost sending,district 4 cost,d4 cost collecting,d4 cost sending,transfer taks cost,transshipment center 1 cost,transshipment center 2 cost,major customer task cost,
2,4,450200,278600,111750,166850,63000,24000,39000,34500,10650,23850,89700,43500,46200,91400,33600,57800,153000,48000,105000,18600,
2,5,466770,287170,105300,181870,61770,18000,43770,40200,12900,27300,60000,34800,25200,125200,39600,85600,161000,56000,105000,18600,
2,6,523735,261135,100000,161135,51235,6000,45235,45450,8550,36900,97650,47850,49800,66800,37600,29200,244000,64000,180000,18600,
2,7,550020,325220,121900,203320,66470,27000,39470,43050,17400,25650,84900,26100,58800,130800,51400,79400,200000,80000,120000,24800,
2,8,354600,243800,84550,159250,66500,15000,51500,35850,10500,25350,65850,28050,37800,75600,31000,44600,86000,56000,30000,24800,
2,9,347900,250500,91850,158650,43300,18000,25300,49950,21600,28350,50850,13050,37800,106400,39200,67200,85000,40000,45000,12400,
2,10,438520,251720,111900,139820,69470,24000,45470,43500,17400,26100,88350,53700,34650,50400,16800,33600,162000,72000,90000,24800,
2,11,472300,285500,128300,157200,55300,18000,37300,47700,21750,25950,94500,49350,45150,88000,39200,48800,162000,72000,90000,24800,
2,12,549100,306500,146250,160250,63000,27000,36000,54300,17400,36900,87000,47850,39150,102200,54000,48200,224000,104000,120000,18600,
2,13,540920,315320,137500,177820,69470,21000,48470,55950,28200,27750,109500,51900,57600,80400,36400,44000,207000,72000,135000,18600,
2,14,457470,280670,121850,158820,76770,33000,43770,45600,19500,26100,118500,63750,54750,39800,5600,34200,152000,32000,120000,24800,
2,15,349200,198600,88050,110550,39000,15000,24000,47700,15150,32550,58500,41100,17400,53400,16800,36600,132000,72000,60000,18600,
2,16,526770,301970,129450,172520,63470,18000,45470,60750,23850,36900,103350,54000,49350,74400,33600,40800,200000,80000,120000,24800,
2,17,513600,303800,134800,169000,75000,27000,48000,63900,21750,42150,66900,49650,17250,98000,36400,61600,185000,80000,105000,24800,
2,18,468000,296400,122650,173750,49300,9000,40300,48150,26100,22050,67950,51150,16800,131000,36400,94600,153000,48000,105000,18600,
2,19,390800,244000,102950,141050,64300,27000,37300,58050,19500,38550,70050,25650,44400,51600,30800,20800,122000,32000,90000,24800,
2,20,498550,280750,111050,169700,66500,24000,42500,45600,21750,23850,95250,36900,58350,73400,28400,45000,193000,88000,105000,24800,
2,21,493850,284050,125900,158150,54000,30000,24000,49800,23850,25950,103650,49650,54000,76600,22400,54200,185000,80000,105000,24800,
2,22,439850,282250,136550,145700,58300,24000,34300,56550,21750,34800,83400,49200,34200,84000,41600,42400,139000,64000,75000,18600,
2,23,335150,240350,99950,140400,72000,30000,42000,31200,12900,18300,67350,31650,35700,69800,25400,44400,70000,40000,30000,24800,
2,24,491100,273500,94200,179300,45000,3000,42000,49800,23850,25950,83700,39150,44550,95000,28200,66800,199000,64000,135000,18600,
2,25,551800,288200,134250,153950,69000,27000,42000,30150,23850,6300,100050,52200,47850,89000,31200,57800,245000,80000,165000,18600,
2,26,585750,299150,133400,165750,66000,27000,39000,36750,15150,21600,104400,47850,56550,92000,43400,48600,268000,88000,180000,18600,
2,27,406585,233985,130185,103800,48235,24235,24000,65100,19500,45600,47250,47250,0,73400,39200,34200,154000,64000,90000,18600,
2,28,508170,298570,129500,169070,66470,21000,45470,52050,21600,30450,95250,47700,47550,84800,39200,45600,191000,56000,135000,18600,
2,29,452700,288900,116200,172700,82800,30000,52800,47400,26100,21300,69900,40500,29400,88800,19600,69200,139000,64000,75000,24800,
2,30,453535,283735,160835,122900,83835,50835,33000,55950,23400,32550,73950,42000,31950,70000,44600,25400,145000,40000,105000,24800,
3,0,468750,274150,128400,145750,69000,27000,42000,38850,25950,12900,95100,47250,47850,71200,28200,43000,176000,56000,120000,18600,
3,1,441000,271200,105050,166150,73300,33000,40300,42750,19500,23250,58350,21750,36600,96800,30800,66000,145000,40000,105000,24800,
3,2,528485,288885,138185,150700,63235,30235,33000,33300,21600,11700,102150,49950,52200,90200,36400,53800,221000,56000,165000,18600,
3,3,540250,337650,133400,204250,85800,27000,58800,47250,23850,23400,117000,68550,48450,87600,14000,73600,184000,64000,120000,18600,
3,4,461320,281720,131300,150420,63470,21000,42470,56400,30450,25950,85650,49050,36600,76200,30800,45400,161000,56000,105000,18600,
3,5,440785,284185,150150,134035,55535,34300,21235,48600,16050,32550,91050,44400,46650,89000,55400,33600,138000,48000,90000,18600,
3,6,441300,255500,116150,139350,64300,27000,37300,56250,25800,30450,73350,32550,40800,61600,30800,30800,161000,56000,105000,24800,
3,7,470350,275750,135950,139800,49300,28300,21000,58650,36900,21750,88200,34350,53850,79600,36400,43200,176000,56000,120000,18600,
3,8,524735,313335,138800,174535,83835,30000,53835,58650,19500,39150,111450,58500,52950,59400,30800,28600,199000,64000,135000,12400,
