iteration, p, s, N1, X1, p(X>x1), N2, X1, p(X>x2), N3, X3, p(X>x3), pf = p(X>x1)*p(X>x2)*p(X>x3)
100, 2, 0, 389, 184, 0.844720, 100, 97, 0.000000, 13, 5, 0.709473, 0.000000
100, 2, 1, 618, 277, 0.994395, 150, 141, 0.000000, 16, 6, 0.772751, 0.000000
100, 2, 2, 585, 296, 0.370429, 147, 137, 0.000000, 19, 8, 0.676197, 0.000000
100, 2, 3, 611, 327, 0.037491, 186, 171, 0.000000, 15, 5, 0.849121, 0.000000
100, 2, 4, 497, 241, 0.734972, 141, 135, 0.000000, 16, 11, 0.038406, 0.000000
100, 2, 5, 584, 292, 0.483499, 126, 117, 0.000000, 21, 10, 0.500000, 0.000000
100, 2, 6, 553, 295, 0.053013, 138, 135, 0.000000, 16, 7, 0.598190, 0.000000
100, 2, 7, 653, 318, 0.734369, 137, 130, 0.000000, 17, 10, 0.166153, 0.000000
100, 2, 8, 585, 278, 0.876509, 148, 139, 0.000000, 17, 9, 0.314529, 0.000000
100, 2, 9, 581, 300, 0.203354, 155, 150, 0.000000, 13, 9, 0.046143, 0.000000
100, 2, 10, 605, 299, 0.596347, 141, 131, 0.000000, 19, 5, 0.968216, 0.000000
100, 2, 11, 548, 295, 0.033066, 103, 103, 0.000000, 18, 9, 0.407265, 0.000000
100, 2, 12, 544, 279, 0.260092, 128, 124, 0.000000, 14, 8, 0.211975, 0.000000
100, 2, 13, 584, 274, 0.926267, 176, 156, 0.000000, 13, 2, 0.988770, 0.000000
100, 2, 14, 586, 319, 0.014241, 126, 124, 0.000000, 15, 3, 0.982422, 0.000000
100, 2, 15, 586, 308, 0.100147, 180, 173, 0.000000, 9, 6, 0.089844, 0.000000
100, 2, 16, 543, 309, 0.000545, 126, 117, 0.000000, 17, 4, 0.975479, 0.000000
100, 2, 17, 545, 286, 0.115173, 136, 128, 0.000000, 10, 6, 0.171875, 0.000000
100, 2, 18, 626, 325, 0.158849, 155, 142, 0.000000, 17, 7, 0.685471, 0.000000
100, 2, 19, 611, 314, 0.233259, 142, 135, 0.000000, 15, 7, 0.500000, 0.000000
100, 2, 20, 558, 295, 0.081177, 137, 129, 0.000000, 14, 8, 0.211975, 0.000000
100, 2, 21, 631, 317, 0.436749, 135, 133, 0.000000, 13, 5, 0.709473, 0.000000
100, 2, 22, 605, 327, 0.020993, 148, 136, 0.000000, 12, 6, 0.387207, 0.000000
100, 2, 23, 498, 266, 0.058351, 159, 150, 0.000000, 17, 7, 0.685471, 0.000000
100, 2, 24, 539, 269, 0.500000, 170, 160, 0.000000, 16, 6, 0.772751, 0.000000
100, 2, 25, 612, 318, 0.156112, 147, 141, 0.000000, 15, 10, 0.059235, 0.000000
100, 2, 26, 605, 309, 0.284635, 187, 164, 0.000000, 13, 3, 0.953857, 0.000000
100, 2, 27, 530, 274, 0.204610, 172, 155, 0.000000, 19, 8, 0.676197, 0.000000
100, 2, 28, 530, 290, 0.013323, 148, 140, 0.000000, 15, 8, 0.303619, 0.000000
100, 2, 29, 565, 293, 0.177346, 165, 149, 0.000000, 15, 10, 0.059235, 0.000000
100, 2, 30, 589, 273, 0.958280, 148, 138, 0.000000, 15, 7, 0.500000, 0.000000
100, 2, 31, 580, 292, 0.417776, 124, 119, 0.000000, 8, 4, 0.363281, 0.000000
100, 2, 32, 559, 266, 0.864272, 181, 170, 0.000000, 14, 8, 0.211975, 0.000000
100, 2, 33, 571, 284, 0.533347, 148, 138, 0.000000, 14, 8, 0.211975, 0.000000
100, 2, 34, 560, 309, 0.006295, 163, 152, 0.000000, 14, 8, 0.211975, 0.000000
100, 2, 35, 190, 134, 0.000000, 41, 41, 0.000000, 8, 7, 0.003906, 0.000000
100, 2, 36, 542, 277, 0.288307, 122, 115, 0.000000, 15, 11, 0.017578, 0.000000
100, 2, 37, 619, 331, 0.038446, 136, 127, 0.000000, 13, 5, 0.709473, 0.000000
100, 2, 38, 575, 327, 0.000417, 147, 140, 0.000000, 22, 8, 0.856861, 0.000000
100, 2, 39, 603, 299, 0.564690, 161, 148, 0.000000, 15, 5, 0.849121, 0.000000
100, 2, 40, 508, 274, 0.034397, 140, 132, 0.000000, 26, 15, 0.163470, 0.000000
100, 2, 41, 630, 300, 0.876045, 149, 143, 0.000000, 15, 8, 0.303619, 0.000000
100, 2, 42, 561, 309, 0.007131, 143, 132, 0.000000, 17, 4, 0.975479, 0.000000
100, 2, 43, 538, 294, 0.013901, 153, 133, 0.000000, 16, 4, 0.961594, 0.000000
100, 2, 44, 648, 317, 0.695198, 135, 125, 0.000000, 12, 6, 0.387207, 0.000000
100, 2, 45, 541, 277, 0.273638, 138, 132, 0.000000, 15, 7, 0.500000, 0.000000
100, 2, 46, 593, 311, 0.108967, 126, 116, 0.000000, 20, 10, 0.411901, 0.000000
100, 2, 47, 631, 308, 0.711332, 133, 128, 0.000000, 16, 7, 0.598190, 0.000000
100, 2, 48, 630, 311, 0.609821, 144, 142, 0.000000, 17, 7, 0.685471, 0.000000
100, 2, 49, 539, 286, 0.071496, 178, 173, 0.000000, 19, 5, 0.968216, 0.000000
100, 3, 0, 367, 182, 0.541564, 98, 95, 0.000000, 11, 4, 0.725586, 0.000000
100, 3, 1, 573, 240, 0.999941, 146, 137, 0.000000, 17, 9, 0.314529, 0.000000
100, 3, 2, 536, 249, 0.945039, 136, 129, 0.000000, 16, 8, 0.401810, 0.000000
100, 3, 3, 560, 290, 0.187436, 183, 167, 0.000000, 14, 4, 0.910217, 0.000000
100, 3, 4, 442, 226, 0.300437, 139, 135, 0.000000, 16, 10, 0.105057, 0.000000
100, 3, 5, 489, 248, 0.358781, 120, 109, 0.000000, 18, 9, 0.407265, 0.000000
100, 3, 6, 499, 268, 0.044410, 125, 122, 0.000000, 14, 8, 0.211975, 0.000000
100, 3, 7, 602, 280, 0.952684, 130, 123, 0.000000, 17, 9, 0.314529, 0.000000
100, 3, 8, 544, 255, 0.921478, 137, 128, 0.000000, 19, 7, 0.820358, 0.000000
100, 3, 9, 517, 260, 0.430189, 149, 142, 0.000000, 12, 8, 0.072998, 0.000000
100, 3, 10, 537, 269, 0.465617, 136, 127, 0.000000, 19, 5, 0.968216, 0.000000
100, 3, 11, 461, 238, 0.228095, 97, 97, 0.000000, 14, 7, 0.395264, 0.000000
100, 3, 12, 517, 255, 0.604048, 122, 119, 0.000000, 13, 7, 0.290527, 0.000000
100, 3, 13, 545, 254, 0.938511, 166, 147, 0.000000, 13, 3, 0.953857, 0.000000
100, 3, 14, 544, 291, 0.047206, 123, 120, 0.000000, 13, 2, 0.988770, 0.000000
100, 3, 15, 519, 273, 0.109505, 172, 165, 0.000000, 8, 4, 0.363281, 0.000000
100, 3, 16, 504, 273, 0.027669, 121, 112, 0.000000, 19, 6, 0.916466, 0.000000
100, 3, 17, 492, 256, 0.171887, 132, 124, 0.000000, 10, 3, 0.828125, 0.000000
100, 3, 18, 553, 267, 0.777980, 147, 137, 0.000000, 16, 9, 0.227249, 0.000000
100, 3, 19, 568, 273, 0.810871, 130, 123, 0.000000, 14, 5, 0.788025, 0.000000
100, 3, 20, 507, 261, 0.238689, 127, 121, 0.000000, 14, 7, 0.395264, 0.000000
100, 3, 21, 581, 282, 0.746571, 126, 124, 0.000000, 12, 4, 0.806152, 0.000000
100, 3, 22, 544, 284, 0.141885, 144, 134, 0.000000, 11, 5, 0.500000, 0.000000
100, 3, 23, 441, 237, 0.052665, 149, 142, 0.000000, 15, 5, 0.849121, 0.000000
100, 3, 24, 478, 234, 0.659680, 165, 160, 0.000000, 17, 5, 0.928268, 0.000000
100, 3, 25, 551, 272, 0.600859, 135, 131, 0.000000, 16, 9, 0.227249, 0.000000
100, 3, 26, 553, 270, 0.695057, 178, 161, 0.000000, 13, 1, 0.998291, 0.000000
