Population,Day,objective,district task cost,district task cost collecting,district task cost sending,district 1 cost,d1 cost collecting,d1 cost sending,district 2 cost,d2 cost collecting,d2 cost sending,district 3 cost,d3 cost collecting,d3 cost sending,district 4 cost,d4 cost collecting,d4 cost sending,transfer taks cost,transshipment center 1 cost,transshipment center 2 cost,major customer task cost,
2,10,484025,306225,123440,182785,93525,24940,68585,37800,18900,18900,90300,33600,56700,84600,46000,38600,153000,48000,105000,24800,
2,11,475760,288160,140310,147850,99760,37410,62350,35700,16800,18900,77700,39900,37800,75000,46200,28800,169000,64000,105000,18600,
2,12,524895,308095,140680,167415,105995,49880,56115,35700,16800,18900,71400,33600,37800,95000,40400,54600,192000,72000,120000,24800,
2,13,451870,251070,132145,118925,74820,43645,31175,25200,8400,16800,76050,39900,36150,75000,40200,34800,176000,56000,120000,24800,
2,14,464485,268885,116010,152875,68585,37410,31175,37800,14700,23100,35700,14700,21000,126800,49200,77600,177000,72000,105000,18600,
2,15,493155,290555,123340,167215,81055,24940,56115,35700,14700,21000,84600,48900,35700,89200,34800,54400,184000,64000,120000,18600,
2,16,401690,255090,113910,141180,87290,37410,49880,33600,8400,25200,67200,31500,35700,67000,36600,30400,128000,8000,120000,18600,
2,17,428435,224835,96840,127995,68585,24940,43645,29400,10500,18900,51450,32400,19050,75400,29000,46400,185000,80000,105000,18600,
2,18,460490,290690,119475,171215,87290,31175,56115,33600,18900,14700,71400,29400,42000,98400,40000,58400,145000,40000,105000,24800,
2,19,450055,278455,115940,162515,81055,24940,56115,44100,18900,25200,52500,31500,21000,100800,40600,60200,153000,48000,105000,18600,
2,20,540555,301755,138560,163195,81055,37410,43645,39900,18900,21000,82200,35850,46350,98600,46400,52200,214000,64000,150000,24800,
2,21,415280,238480,97170,141310,49880,12470,37410,44100,18900,25200,52500,25200,27300,92000,40600,51400,152000,32000,120000,24800,
2,22,496720,271920,124655,147265,74820,18705,56115,37800,18900,18900,54900,23250,31650,104400,63800,40600,200000,80000,120000,24800,
2,23,533940,286340,135960,150380,87290,37410,49880,44100,18900,25200,85350,44850,40500,69600,34800,34800,229000,64000,165000,18600,
2,24,432830,281430,127945,153485,112230,43645,68585,31500,16800,14700,52500,27300,25200,85200,40200,45000,139000,64000,75000,12400,
2,25,532130,322330,139280,183050,112230,49880,62350,25200,12600,12600,69300,33600,35700,115600,43200,72400,185000,80000,105000,24800,
2,26,424150,259550,119175,140375,62350,31175,31175,23100,14700,8400,73500,35700,37800,100600,37600,63000,146000,56000,90000,18600,
2,27,514785,303185,126110,177075,68585,37410,31175,33600,12600,21000,73800,29700,44100,127200,46400,80800,193000,88000,105000,18600,
2,28,468555,281755,119810,161945,81055,37410,43645,44100,16800,27300,67200,25200,42000,89400,40400,49000,162000,72000,90000,24800,
2,29,448555,290955,142445,148510,81055,43645,37410,27300,18900,8400,79800,39900,39900,102800,40000,62800,139000,64000,75000,18600,
2,30,463320,280320,76235,204085,74820,6235,68585,37800,18900,18900,56700,10500,46200,111000,40600,70400,152000,32000,120000,31000,
3,0,427395,265595,118745,146850,105995,43645,62350,31500,18900,12600,65100,33600,31500,63000,22600,40400,137000,32000,105000,24800,
3,1,494400,285600,113920,171680,62350,12470,49880,46200,16800,29400,76050,38250,37800,101000,46400,54600,184000,64000,120000,24800,
3,2,505860,296260,135080,161180,99760,49880,49880,42000,14700,27300,65100,27300,37800,89400,43200,46200,191000,56000,135000,18600,
3,3,538220,304620,126475,178145,74820,31175,43645,39900,14700,25200,74100,34200,39900,115800,46400,69400,215000,80000,135000,18600,
3,4,449030,277230,108845,168385,112230,43645,68585,42000,23100,18900,71400,18900,52500,51600,23200,28400,147000,72000,75000,24800,
3,5,398985,265385,124270,141115,68585,12470,56115,42000,16800,25200,67200,46200,21000,87600,48800,38800,115000,40000,75000,18600,
3,6,515825,284225,135445,148780,93525,43645,49880,25200,6300,18900,67500,50700,16800,98000,34800,63200,213000,48000,165000,18600,
3,7,524950,314350,154105,160245,62350,18705,43645,37800,18900,18900,75600,44100,31500,138600,72400,66200,192000,72000,120000,18600,
3,8,436255,287455,113610,173845,81055,37410,43645,27300,8400,18900,86100,33600,52500,93000,34200,58800,124000,64000,60000,24800,
3,9,478060,306260,137110,169150,99760,37410,62350,35700,12600,23100,84000,44100,39900,86800,43000,43800,147000,72000,75000,24800,
3,10,439430,289030,128180,160850,112230,49880,62350,33600,14700,18900,75600,37800,37800,67600,25800,41800,138000,48000,90000,12400,
3,11,471185,269385,141710,127675,68585,37410,31175,18900,12600,6300,69300,39900,29400,112600,51800,60800,177000,72000,105000,24800,
3,12,460420,267620,116110,151510,74820,37410,37410,33600,14700,18900,67200,21000,46200,92000,43000,49000,168000,48000,120000,24800,
3,13,527290,301690,134510,167180,87290,37410,49880,31500,10500,21000,75900,40200,35700,107000,46400,60600,207000,72000,135000,18600,
3,14,511490,286690,123710,162980,87290,37410,49880,39900,18900,21000,69900,38400,31500,89600,29000,60600,200000,80000,120000,24800,
3,15,479390,286590,105610,180980,87290,37410,49880,39900,14700,25200,63000,18900,44100,96400,34600,61800,168000,48000,120000,24800,
3,16,498955,281355,145345,136010,81055,43645,37410,31500,10500,21000,42000,25200,16800,126800,66000,60800,199000,64000,135000,18600,
3,17,425420,262620,130145,132475,74820,43645,31175,37800,18900,18900,58800,33600,25200,91200,34000,57200,138000,48000,90000,24800,
3,18,450225,292625,125210,167415,93525,37410,56115,33600,10500,23100,73500,39900,33600,92000,37400,54600,139000,64000,75000,18600,
3,19,493995,321395,146145,175250,105995,43645,62350,35700,16800,18900,77700,31500,46200,102000,54200,47800,154000,64000,90000,18600,
3,20,383285,234685,117375,117310,68585,31175,37410,33600,10500,23100,52500,35700,16800,80000,40000,40000,130000,40000,90000,18600,
3,21,458395,317595,136680,180915,105995,49880,56115,33600,8400,25200,105000,50400,54600,73000,28000,45000,116000,56000,60000,24800,
3,22,456120,248320,111310,137010,74820,37410,37410,31500,16800,14700,69600,33900,35700,72400,23200,49200,183000,48000,135000,24800,
3,23,483070,287470,123925,163545,74820,31175,43645,27300,10500,16800,67350,35850,31500,118000,46400,71600,177000,72000,105000,18600,
3,24,552675,297075,119090,177985,93525,24940,68585,42000,16800,25200,74550,36750,37800,87000,40600,46400,237000,72000,165000,18600,
3,25,465750,250950,111310,139640,62350,37410,24940,23100,12600,10500,84300,38100,46200,81200,23200,58000,190000,40000,150000,24800,
3,26,468155,289555,135710,153845,81055,37410,43645,31500,10500,21000,79800,42000,37800,97200,45800,51400,160000,40000,120000,18600,
3,27,501190,301390,142180,159210,87290,49880,37410,46200,18900,27300,90300,42000,48300,77600,31400,46200,175000,40000,135000,24800,
3,28,529185,287585,118655,168930,68585,18705,49880,37800,14700,23100,76800,38850,37950,104400,46400,58000,223000,88000,135000,18600,
3,29,510300,277500,123205,154295,62350,18705,43645,37800,21000,16800,78750,42900,35850,98600,40600,58000,208000,88000,120000,24800,
3,30,409950,260350,103840,156510,62350,24940,37410,35700,16800,18900,69300,27300,42000,93000,34800,58200,131000,56000,75000,18600,
4,0,348615,223015,80405,142610,56115,18705,37410,31500,14700,16800,71400,21000,50400,64000,26000,38000,107000,32000,75000,18600,
4,1,500740,276740,123125,153615,87290,31175,56115,44100,18900,25200,61350,38250,23100,84000,34800,49200,193000,88000,105000,31000,
4,2,510695,323095,131645,191450,105995,43645,62350,39900,10500,29400,75600,39900,35700,101600,37600,64000,169000,64000,105000,18600,
4,3,536540,313540,134925,178615,87290,31175,56115,31500,16800,14700,96750,46350,50400,98000,40600,57400,192000,72000,120000,31000,
4,4,515470,289670,128495,161175,74820,43645,31175,23100,8400,14700,76350,53250,23100,115400,23200,92200,201000,96000,105000,24800,
4,5,439615,290015,138140,151875,56115,24940,31175,37800,16800,21000,77700,42000,35700,118400,54400,64000,131000,56000,75000,18600,
4,6,498725,305925,128010,177915,93525,37410,56115,31500,12600,18900,73500,37800,35700,107400,40200,67200,168000,48000,120000,24800,
4,7,465995,318395,150980,167415,131795,58480,73315,27300,14700,12600,69300,29400,39900,90000,48400,41600,129000,24000,105000,18600,
4,8,442130,286530,108180,178350,129430,49880,79550,39900,14700,25200,63000,21000,42000,54200,22600,31600,137000,32000,105000,18600,
4,9,506695,297895,154045,143850,105995,43645,62350,33600,18900,14700,77700,48300,29400,80600,43200,37400,184000,64000,120000,24800,
4,10,512655,313655,142245,171410,81055,43645,37410,50400,25200,25200,71400,33600,37800,110800,39800,71000,168000,48000,120000,31000,
4,11,525025,300425,130210,170215,93525,37410,56115,48300,16800,31500,54600,21000,33600,104000,55000,49000,206000,56000,150000,18600,
4,12,350950,240350,90705,149645,83850,18705,65145,44100,12600,31500,63000,33600,29400,49400,25800,23600,92000,32000,60000,18600,
4,13,512125,333325,138945,194380,93525,43645,49880,31500,8400,23100,86100,44100,42000,122200,42800,79400,154000,64000,90000,24800,
4,14,494240,276640,115525,161115,87290,31175,56115,33600,16800,16800,80550,38550,42000,75200,29000,46200,199000,64000,135000,18600,
4,15,519550,279750,127770,151980,62350,12470,49880,33600,16800,16800,59400,40500,18900,124400,58000,66400,215000,80000,135000,24800,
4,16,537895,359295,164645,194650,105995,43645,62350,42000,14700,27300,94500,56700,37800,116800,49600,67200,160000,40000,120000,18600,
4,17,444160,257560,102910,154650,99760,37410,62350,31500,12600,18900,71700,29700,42000,54600,23200,31400,168000,48000,120000,18600,
4,18,451715,288115,107605,180510,56115,18705,37410,35700,12600,23100,73500,35700,37800,122800,40600,82200,145000,40000,105000,18600,
4,19,449560,277760,129145,148615,99760,43645,56115,39900,14700,25200,60900,33600,27300,77200,37200,40000,147000,72000,75000,24800,
4,20,441620,317820,141875,175945,87720,39775,47945,44100,16800,27300,84000,44100,39900,102000,41200,60800,99000,24000,75000,24800,
4,21,512655,318855,117540,201315,81055,24940,56115,31500,10500,21000,86100,35700,50400,120200,46400,73800,169000,64000,105000,24800,
4,22,475900,281300,149410,131890,62350,37410,24940,44100,25200,18900,82050,46200,35850,92800,40600,52200,176000,56000,120000,18600,
4,23,479330,291730,148180,143550,112230,49880,62350,48300,14700,33600,73800,37800,36000,57400,45800,11600,169000,64000,105000,18600,
4,24,528255,313455,113340,200115,81055,24940,56115,27300,10500,16800,86100,31500,54600,119000,46400,72600,190000,40000,150000,24800,
4,25,499665,298865,130480,168385,118465,49880,68585,35700,18900,16800,35700,10500,25200,109000,51200,57800,176000,56000,120000,24800,
4,26,574595,312795,133845,178950,105995,43645,62350,33600,12600,21000,54600,16800,37800,118600,60800,57800,237000,72000,165000,24800,
4,27,401295,266695,124545,142150,105995,43645,62350,21000,18900,2100,69300,42000,27300,70400,20000,50400,116000,56000,60000,18600,
